Method,Iterations_to_1e-9,Time_to_1e-9_(s),Total_Iterations,Total_Time_(s),Final_Error,Final_f(x),Func_Evals,Grad_Evals,Hess_Evals,Avg_Time_per_Iter_(ms)
Gradient Descent,,,10000,0.3756606500071939,2.1750939307609185e-05,9.4514206632783e-11,10000,10000,0,0.03756606500071939
BFGS,34.0,0.0012458449924856218,36,0.0013191299920435994,6.79155911521093e-13,1.6883226662494185e-22,108,36,0,0.03664249977898887
Newton,21.0,0.0012403554537079552,22,0.0012994199991226197,1.2165119381179673e-12,7.682025128905186e-24,66,22,22,0.059064545414664535
