k,x1,x2,f(x),||grad f||
0,-1.2,1.0,24.199999999999996,232.86768775422664
1,-0.9894531249999999,1.0859375,5.101112663710957,232.86768775422664
2,-1.0268926077289506,1.0650546848773956,4.119415997082876,43.89852092322499
3,-1.0279791864551264,1.056815421542215,4.112700131463372,2.1275142357124217
4,2.9974631073256957,1.0419726700879457,6312.816756418736,4.02546965804366
5,-1.654543627438585,1.8176379444718,91.66391078614114,9658.83857650348
6,-1.0548370643328882,1.9973013567034077,82.4776318126002,641.0656322034954
7,-1.4153276540844193,1.824523988653997,9.024617482228553,409.35094406932586
8,-1.3118533087906583,1.8594123440762838,7.261595696081958,111.818443828278
9,-1.3782873224019698,1.8323706955818921,6.109250222164428,73.448208076939
10,-1.337405523187492,1.845516251736599,5.78680145289411,43.97394085414833
11,-1.3625467286096766,1.8344102520717183,5.6305712425527865,28.144606722994805
12,-1.346157348861917,1.8387312160508615,5.575165668050561,17.356195806083768
13,-1.3555580137028678,1.833537542582909,5.550253544664743,10.997719170717986
14,-1.3488392625106058,1.8343187898350877,5.539400418214278,6.926356350725533
15,-1.3521294517892926,1.8313985879317805,5.533501767090356,4.504776610804522
16,-1.3491963147373018,1.830784421225576,5.529651362910231,3.0686691205093513
17,-1.3510386165964654,1.8267009346924277,5.527577344195722,2.293676478861148
18,-1.347183266777649,1.8264283582944714,5.522553242617701,3.9577328590279666
19,-1.3486641982332102,1.824177263761508,5.51901362076094,2.759216325081698
20,-1.3450552277134629,1.8221139261968673,5.516029314265706,2.1284690515178326
21,-1.3472740650305204,1.819586512017658,5.511666102318728,3.443908766930301
22,0.9549972649805285,0.9317653692586314,0.041014090997725364,2.4675250066657455
23,0.9699050783536785,0.9240522469389667,0.028673307720578804,8.593903688075994
24,0.9573959773309783,0.9305614711879076,0.021287669137374527,7.219882792681938
25,0.9679998208706401,0.9251105283057324,0.01521626595227482,6.10449756808635
26,0.9591155225320259,0.9297640927197397,0.011396472840278934,5.134990374888615
27,0.9666645436085906,0.9259119414862012,0.008384610552109744,4.339235140289593
28,0.9603540568512198,0.9292433471048744,0.006420740157662421,3.653560627503041
29,0.9657334243959614,0.9265232562477344,0.004916934567033377,3.0863234909906323
30,0.9612515321064256,0.9289130182586,0.003910791082605268,2.6005528355863086
31,0.9650890753627253,0.9269956314298307,0.003155909746035572,2.1964209518282156
32,0.9619069783629381,0.9287148860996155,0.002641225542304822,1.8518253606531583
33,0.9646483072166794,0.9273672880229368,0.002260389894589589,1.5639822949526938
34,0.9623905535659666,0.928609111692104,0.001996985145824532,1.3192897419424547
35,0.9643521236049118,0.9276663249346445,0.0018037775976048347,1.114303499745346
36,0.9627520033166975,0.9285681582809956,0.0016685584199977559,0.9404212626854481
