N,BFGS_Iters,BFGS_Total_Time(s),BFGS_Time/Iter(s),Newton_Iters,Newton_Total_Time(s),Newton_Time/Iter(s),Time_Per_Iter_Ratio (Newton/BFGS)
5,32,0.002344846725463867,7.327646017074585e-05,23,0.0008003711700439453,3.47987465236498e-05,0.47489666452996177
10,44,0.007660627365112305,0.00017410516738891602,30,0.0030558109283447266,0.00010186036427815756,0.5850507816957663
15,54,0.020389556884765625,0.000377584386754919,38,0.011804342269897461,0.0003106405860499332,0.8227050612968343
20,61,0.03820919990539551,0.0006263803263179591,44,0.02501702308654785,0.0005685687065124512,0.9077052433218312
25,68,0.06285595893859863,0.0009243523373323329,52,0.04402518272399902,0.0008466381293076735,0.9159257732295659
30,74,0.10630083084106445,0.0014364977140684386,60,0.08600163459777832,0.0014333605766296386,0.9978161208277074
50,97,0.28775954246520996,0.002966593221290824,89,0.5341277122497559,0.0060014349690983805,2.0230056908466323
100,154,1.6822509765625,0.010923707640016234,163,6.749871015548706,0.041410251629133164,3.79086048380105
200,323,14.501091718673706,0.04489502080084739,308,96.02724170684814,0.311776758788468,6.944573211615112
