Method,Total_Iterations,Total_Time_(s),Avg_Time_per_Iter_(ms),Final_Error,Final_f(x),Convergence_Type,Avg_Ratio,Std_Ratio,Convergence_Order
Gradient Descent,10000,0.3756606500071939,0.03756606500071939,2.1750939307609185e-05,9.4514206632783e-11,Slow/Sublinear,0.9992199786846138,2.109981255258957e-09,0.9999992047810751
BFGS,36,0.0013191299920435994,0.03664249977898887,6.79155911521093e-13,1.6883226662494185e-22,Superlinear,0.26287477351900773,0.5307158700587374,1.2547605890234028
Newton,22,0.0012994199991226197,0.059064545414664535,1.2165119381179673e-12,7.682025128905186e-24,Superlinear,0.22216837483823326,0.260327429519356,1.9971003419410895
