Iteration,x1,x2,f(x),Gradient_Norm,y^T_s,Error_to_Optimum
0,-1.2,1.0,24.199999999999996,232.86768775422664,62.866046457150965,2.2
1,-0.9894531249999999,1.0859375,5.101112663710957,232.86768775422664,2.8603215754492233,1.9913083614745646
2,-0.7723458059823378,0.5705923983388292,3.2084235663740026,43.89852092322499,0.49752128455118105,1.8236229172577267
3,-0.6481044618248177,0.36192628789878456,3.053961620619199,12.664248339553128,1.1675772696816882,1.7673104931396455
4,-0.4413240284852251,0.18799537928915,2.0820003018144044,21.730899454492743,0.1668119625618225,1.6543175206545595
5,-0.3729090486005197,0.10762362898880778,1.9837110820828527,4.29702213431794,0.9626946792382391,1.637441554153396
6,-0.1733742279708052,-0.029516675655420543,1.7317286989544267,9.737260519041405,0.817985374824077,1.5609970097084338
7,-0.16697297886009516,0.03223631607000224,1.3637237035581837,13.562327275111725,1.8198172245892739,1.5160450129608172
8,0.07808043918129684,-0.05913736327705141,1.27548208577272,2.2210164749516697,1.2480597878444857,1.4041750713175387
9,-0.05498289890577793,0.008541807992162906,1.1160345096129265,13.048219357013876,0.3093824680173952,1.4477493786850983
10,0.08837301211357498,-0.017308365259300088,0.894155933738787,2.274365133670592,0.22732864403453398,1.3660088122224636
11,0.20000090225759254,0.0005002421320156672,0.7960244946875763,5.109964954545045,0.3267740618786813,1.2802336983405902
12,0.2646445871968442,0.0682114487067367,0.5410807583698729,8.05258064682243,0.4928707228648612,1.1870035751673615
13,0.42329246897756523,0.1421953292777327,0.4693523808522456,1.3286250874597252,0.2361303582495108,1.0336442470458247
14,0.3806158360383735,0.14086906085152948,0.3852362256415299,8.988731347975756,0.1047666890874138,1.0591235589715564
15,0.5029205879647853,0.23878686034376317,0.26708828646185745,1.018107938398114,0.14219213812601128,0.9091388155032103
16,0.6050036111332023,0.3386815871037944,0.23081226733049523,3.380185032481512,0.11245921367066672,0.7703013633983563
17,0.6231121033316588,0.3843466009948439,0.14358276747453896,7.992751751387542,0.360331615534508,0.7218542750179485
18,0.7937574701019117,0.6020360712865136,0.1210191635051927,0.8157158030343316,0.2399568061787578,0.44823126809252917
19,0.7164518648527795,0.5168090950414466,0.08162862260645579,10.165771784779048,0.05848028282078732,0.5602436930302136
20,0.803453995983035,0.6359734072281913,0.04777909433190265,1.721097480382509,0.0385456086512882,0.4136975851272147
21,0.8872291152575139,0.780344464466934,0.01738358113584,3.2934342380980657,0.01922809667447143,0.24691258926170842
22,0.889602956398931,0.7943635230711539,0.013069658441154677,2.588622542387085,0.010343929202038013,0.23339637503518382
23,0.9386348158713274,0.8786192842000976,0.004349407545564891,1.4090153560699703,0.004176653196236481,0.13601089659009888
24,0.9706168686813672,0.937748358797625,0.0027545284280379363,0.9212702435139725,0.002085970598371965,0.06883774573936349
25,0.9763010792193724,0.9519658494830945,0.0007051467397542107,1.8471944465668881,0.0006897707263522944,0.05356228581798203
26,0.9916178384159642,0.9829699371743092,8.155025233846287e-05,0.48390138379038733,0.00010470708095834669,0.018981139920138092
27,0.9984589125463949,0.9967645399958464,4.797955577900792e-06,0.13449999393951537,9.416290083357338e-06,0.0035837343621056947
28,0.9997553954243469,0.9995285135012302,9.102892348581159e-08,0.0667858097748251,2.701106687178739e-07,0.0005311599730332372
29,1.0000499564978302,1.000095577239611,4.377694457766143e-09,0.008337920570035488,8.816037589405063e-09,0.00010784553957912538
30,0.9999997480600513,0.9999995007236394,6.559293435551063e-14,0.0020300602319185696,1.2958027996702954e-13,5.592411125656436e-07
31,0.9999999980243123,0.9999999958478958,7.932545772647014e-18,2.519516642891422e-06,1.5195603828126573e-17,4.598185664522897e-09
32,0.9999999999602578,0.9999999999159989,3.619519472715052e-21,8.625251962693755e-08,6.932374421592429e-21,9.292811541477329e-11
33,0.9999999999991516,0.9999999999982062,1.6592341175252187e-24,1.9491698667012995e-09,3.1806621235446797e-24,1.9843161597377103e-12
34,0.9999999999999818,0.9999999999999616,7.308796286872674e-28,4.183420756748732e-11,,4.251038017286612e-14
