Iteration,No line search (alpha=1),Armijo,Regular Wolfe,Strong Wolfe
0,847476957025.6,62.866046457150965,62.866046457150965,62.866046457150965
1,847468628235.7233,2.8603215754492233,2.8603215754492233,2.8603215754492233
2,170582889256.4557,0.018238255240003866,0.49752128455118105,0.018238255240003866
3,169681182531.35706,2.110074439943681,1.1675772696816882,2.110074439943681
4,60488.30308030787,1.7261839559059553,0.1668119625618225,1.7261839559059553
5,4487.481166940108,0.2069724982751041,0.9626946792382391,0.2069724982751041
6,2.814000187339896e-05,0.1694981868396923,0.817985374824077,0.1694981868396923
7,2.4326607063237657e-08,0.0295762524139172,1.8198172245892739,0.0295762524139172
8,2.9854436714882782e-05,0.28317428412993173,1.2480597878444857,0.28317428412993173
9,3.1582787046772004e-05,0.16162324501652334,0.3093824680173952,0.16162324501652334
10,0.00012284386093833427,0.3872805842177176,0.22732864403453398,0.3872805842177176
11,0.00027895400326215784,0.7091653999993723,0.3267740618786813,0.7091653999993723
12,0.0007714901152737534,0.8159691204041659,0.4928707228648612,0.8159691204041659
13,0.0019728835686807582,0.2713964213749396,0.2361303582495108,0.2713964213749396
14,0.005152245865526974,0.029877780360176888,0.1047666890874138,0.029877780360176888
15,0.012785785528633499,0.2093093782478006,0.14219213812601128,0.2093093782478006
16,0.02092062434297612,0.06486290920952764,0.11245921367066672,0.06486290920952764
17,-0.37733432053450766,0.022146427089557323,0.360331615534508,0.022146427089557323
18,52.59919295956877,0.28755198974328644,0.2399568061787578,0.28755198974328644
19,50.586159236065726,0.12040744839937331,0.05848028282078732,0.12040744839937331
20,0.005105913315410843,0.009687768091777812,0.0385456086512882,0.009687768091777812
21,1.3060717728034925,0.08822232574742261,0.01922809667447143,0.08822232574742261
22,0.6753655988790668,0.023509729234863677,0.010343929202038013,0.023509729234863677
23,0.012329176846047112,0.02925314496954967,0.004176653196236481,0.02925314496954967
24,0.20913227895305786,0.010558515258882867,0.002085970598371965,0.010558515258882867
25,0.012274309680603722,0.007161612096846362,0.0006897707263522944,0.007161612096846362
26,0.39496292103905106,0.01195477914151652,0.00010470708095834669,0.0022595051196144557
27,0.265438359579599,0.005894859184685723,9.416290083357338e-06,0.0032754488458347723
28,0.40870992321818655,0.0007923183963040187,2.701106687178739e-07,0.0015330957566384185
29,2.591471122045424,0.000420310080846691,8.816037589405063e-09,0.0004573352407664841
30,2.497743938586484,4.8802658905151494e-05,1.2958027996702954e-13,2.423184668370726e-05
31,0.01215254776207366,1.1639455430964403e-06,1.5195603828126573e-17,1.2558832147317878e-06
32,516.3559327594872,1.7218715288628851e-09,6.932374421592429e-21,7.128543594478271e-09
33,514.5416091083748,3.644283503426787e-13,3.1806621235446797e-24,4.460010709162551e-13
34,0.00011933192156715801,5.355479841962695e-17,,3.7153040603041184e-18
35,4.127078422024529,8.291620467892574e-21,,3.3123011670131267e-22
36,3.5011491244923203,1.2844662448516966e-24,,3.09485910336308e-26
37,-0.002163342548051569,,,
38,0.007041885973366933,,,
39,92.10928329981766,,,
40,91.12852332854958,,,
41,9.49985550755191e-05,,,
42,197.08027575499943,,,
43,195.887073188036,,,
44,5.161780864350234e-05,,,
45,143.3683883641158,,,
46,142.25481119528928,,,
47,8.008514267252514e-05,,,
48,90.27993625239459,,,
49,89.30585564556992,,,
50,6.903722800432471e-05,,,
51,795.445923325638,,,
52,793.8496040613516,,,
53,3.3254601799943127e-06,,,
54,12808.461344784015,,,
55,12805.201399951704,,,
56,1.9087037022935474e-05,,,
57,0.05378188965411665,,,
58,0.000237991243116034,,,
59,0.05336564805406582,,,
60,1.1470652742206906,,,
61,0.9297524021894361,,,
62,0.004383336188715975,,,
63,9.712945415031529,,,
64,9.387167397663022,,,
65,0.00042526807885342544,,,
66,20.36987887842724,,,
67,19.96148420636694,,,
68,0.00011677784707702439,,,
69,105.28876420196939,,,
70,104.71290834439797,,,
71,1.2511676401212387e-05,,,
72,362.6459476161329,,,
73,361.8664513470927,,,
74,1.6205936496890207e-05,,,
75,2.6473758075823053,,,
76,2.4260826017883925,,,
77,0.001217389450491018,,,
78,1.8468201935115753,,,
79,1.6748714861532674,,,
80,0.001256743285064441,,,
81,0.5471184349513527,,,
82,0.4356293821533066,,,
83,0.0022252275410355737,,,
84,0.08139235900778458,,,
85,0.03313906784713784,,,
86,0.0006442746683124872,,,
87,0.030449739744485033,,,
88,0.007154008680852857,,,
89,0.011176491634569637,,,
90,0.00919344597971617,,,
91,0.0024830318558797908,,,
92,0.00013449115112339395,,,
93,8.11196610185133e-05,,,
94,6.227492894953651e-07,,,
95,6.693424045470047e-09,,,
96,1.328691805064746e-11,,,
97,4.998755993711452e-18,,,
98,5.725105165886047e-24,,,
