Iteration,x1,x2,f(x),Gradient_Norm,y^T_s,Error_to_Optimum
0,-1.2,1.0,24.199999999999996,232.86768775422664,62.866046457150965,2.2
1,-0.9894531249999999,1.0859375,5.101112663710957,232.86768775422664,2.8603215754492233,1.9913083614745646
2,-0.7723458059823378,0.5705923983388292,3.2084235663740026,43.89852092322499,0.018238255240003866,1.8236229172577267
3,-0.7412854699429579,0.5184258707288181,3.12866101932913,12.664248339553128,2.110074439943681,1.8066512474237424
4,-0.46315775756542865,0.14171129541313543,2.6708701419651333,14.137414652487488,1.7261839559059553,1.6963166343419767
5,-0.4975905877211788,0.267291753786449,2.2815682921263845,21.941763266061496,0.2069724982751041,1.667224922588552
6,-0.38197111318994026,0.13390898661844636,1.924227229932656,4.046201510835461,0.1694981868396923,1.6309377060917223
7,-0.3047508985166043,0.058293626948216326,1.8219489730071532,5.184538351739625,0.0295762524139172,1.6090947144982584
8,-0.26165859904065947,0.03613685244795173,1.696294771244591,9.716320442464221,0.28317428412993173,1.587707336930261
9,-0.1233498957312133,0.0013522025360298284,1.2811332491715712,8.757659058715001,0.16162324501652334,1.5030676670126886
10,-0.03115468772851558,-0.031125935086601594,1.166298839994065,4.034390046562944,0.3872805842177176,1.4582526132439164
11,0.13005143408429165,-0.01549933478840873,0.8618688862106759,6.8753490586881565,0.7091653999993723,1.3371796462310133
12,0.17764932488258425,0.05839637843777695,0.7482836039990047,6.482765049858511,0.8159691204041659,1.2501511960579663
13,0.3515686479918739,0.0905306894526633,0.5298245494852579,6.436150418081354,0.2713964213749396,1.1169591062767403
14,0.29391455472736544,0.0882443859915866,0.4989021030462461,7.415631208257348,0.029877780360176888,1.153193373073967
15,0.35643580232525185,0.11951715336700805,0.4198439542591563,1.672513014487733,0.2093093782478006,1.0906075920071705
16,0.4615924260669041,0.18278257704614176,0.3816007821787648,1.5209447619534804,0.06486290920952764,0.9786352906204985
17,0.4416248104260371,0.18215780954089997,0.3283585487236257,7.554579616246143,0.022146427089557323,0.9902770828544392
18,0.4838130743900746,0.2290110222540092,0.2690134213471838,2.823157634119078,0.28755198974328644,0.9278323911011269
19,0.6373253409780053,0.37970224011941534,0.20165909878504434,1.0141656998587771,0.12040744839937331,0.7185417310146931
20,0.6035061592029509,0.36133956433102143,0.1580368748336011,8.022323063525556,0.009687768091777812,0.7517276886472156
21,0.6567817789327124,0.42750954131274194,0.1192831261819293,0.5842540094334928,0.08822232574742261,0.6674908782601757
22,0.7529902395674056,0.5504881717332549,0.08825905170234535,0.8365727314664293,0.023509729234863677,0.5129080867959477
23,0.7605264892608056,0.5726515821879156,0.06065261493555821,5.562971747857814,0.02925314496954967,0.4898716490594725
24,0.8400851140799444,0.6986633934296562,0.03058485209857436,1.713121925413482,0.010558515258882867,0.34114003165585033
25,0.8863996568533347,0.7811534493167767,0.014976109185633009,2.4989932126285126,0.007161612096846362,0.2465742296124734
26,0.9230757658640852,0.8514410533263689,0.005956753115394652,1.6584453305312297,0.01195477914151652,0.16729345006358082
27,0.9651698969037263,0.9254380987291713,0.0049522520932014065,0.14779693996821971,0.005894859184685723,0.08229588812825257
28,0.9653036509460757,0.9311253031662226,0.0012508736522682782,2.5970550217930906,0.0007923183963040187,0.07712042856219424
29,0.9839789959956101,0.9678642139617593,0.00026895413152648096,0.2387571483717929,0.000420310080846691,0.03590795613237079
30,0.9978959437906757,0.9953468409759307,2.4629709451331555e-05,0.1269875031967173,4.8802658905151494e-05,0.005106754491384266
31,0.9992944949835387,0.9986128993243325,5.525477230117383e-07,0.1969192125509474,1.1639455430964403e-06,0.0015562087304372908
32,1.0000120913092003,1.0000214992381034,8.663312041965197e-10,0.011742939223157842,1.7218715288628851e-09,2.4666110297377762e-05
33,0.9999996551552912,0.9999992842941952,1.8660373251714287e-13,0.0012217986496254748,3.644283503426787e-13,7.944511767666981e-07
34,0.9999999952278676,0.9999999902393288,2.7456422309972502e-17,1.1022371488740611e-05,5.355479841962695e-17,1.0864803206703113e-08
35,0.9999999999405564,0.9999999998784344,4.250986085227112e-21,8.834642470071837e-08,8.291620467892574e-21,1.353208903319196e-10
36,0.9999999999992604,0.9999999999984873,6.587277478901986e-25,1.0928306230081768e-09,1.2844662448516966e-24,1.6838202874196996e-12
37,0.9999999999999908,0.9999999999999811,1.0463500350658077e-28,1.3637818837382283e-11,,2.1003177935491538e-14
