Dimension,BFGS_Time_per_Iter_s,Newton_Time_per_Iter_s,Speedup_Newton_over_BFGS
2,0.0001107692718505,2.09808349609375e-05,0.1894102453723633
5,8.573532104492188e-05,3.2901763916015625e-05,0.3837597330367074
10,8.182525634765625e-05,9.27448272705078e-05,1.1334498834498834
20,0.0002059936523437,0.0006561279296875,3.185185185185185
30,0.0001679420471191,0.0019546747207641,11.638983532084044
40,0.0002274990081787,0.0055500268936157,24.39582896667365
50,0.0002156257629394,0.009096622467041,42.18708536045997
100,0.0002487182617187,0.065178632736206,262.05809049079755
145,0.0004210948944091,0.1606919765472412,381.6051409806364
200,0.0007507801055908,0.3905428647994995,520.1827564306129
